Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1990,41,SAN MATEO,TCU,Non-Residential,4.4816
1990,42,SANTA BARBARA,Ag With Water Pump,Non-Residential,6.3711
1990,42,SANTA BARBARA,Commercial,Non-Residential,28.015
1990,42,SANTA BARBARA,Industrial,Non-Residential,25.2134
1990,42,SANTA BARBARA,Mining,Non-Residential,18.3616
1990,42,SANTA BARBARA,Residential,Residential,64.0703
1990,42,SANTA BARBARA,TCU,Non-Residential,0.5211
1990,43,SANTA CLARA,Ag With Water Pump,Non-Residential,5.1034
1990,43,SANTA CLARA,Commercial,Non-Residential,104.7123
1990,43,SANTA CLARA,Industrial,Non-Residential,125.5428
1990,43,SANTA CLARA,Mining,Non-Residential,1.4599
1990,43,SANTA CLARA,Residential,Residential,291.4523
1990,43,SANTA CLARA,TCU,Non-Residential,6.0496
1990,44,SANTA CRUZ,Ag With Water Pump,Non-Residential,8.8256
1990,44,SANTA CRUZ,Commercial,Non-Residential,15.2982
1990,44,SANTA CRUZ,Industrial,Non-Residential,7.8612
1990,44,SANTA CRUZ,Mining,Non-Residential,0.1129
1990,44,SANTA CRUZ,Residential,Residential,37.7456
1990,44,SANTA CRUZ,TCU,Non-Residential,0.2581
1990,45,SHASTA,Ag With Water Pump,Non-Residential,0.0877
1990,45,SHASTA,Commercial,Non-Residential,7.6932
1990,45,SHASTA,Industrial,Non-Residential,19.3039
1990,45,SHASTA,Mining,Non-Residential,0.0636
1990,45,SHASTA,Residential,Residential,14.254
1990,45,SHASTA,TCU,Non-Residential,0.0837
1990,48,SOLANO,Ag With Water Pump,Non-Residential,0.0187
1990,48,SOLANO,Commercial,Non-Residential,17.7551
1990,48,SOLANO,Industrial,Non-Residential,128.4835
1990,48,SOLANO,Mining,Non-Residential,1.4041
1990,48,SOLANO,Residential,Residential,61.9769
1990,48,SOLANO,TCU,Non-Residential,2.0384
1990,49,SONOMA,Ag With Water Pump,Non-Residential,1.6021
1990,49,SONOMA,Commercial,Non-Residential,21.0893
1990,49,SONOMA,Industrial,Non-Residential,8.6618
1990,49,SONOMA,Mining,Non-Residential,0.6944
1990,49,SONOMA,Residential,Residential,75.7513
1990,49,SONOMA,TCU,Non-Residential,0.2457
1990,50,STANISLAUS,Ag With Water Pump,Non-Residential,3.0857
1990,50,STANISLAUS,Commercial,Non-Residential,15.5136
1990,50,STANISLAUS,Industrial,Non-Residential,78.3665
1990,50,STANISLAUS,Mining,Non-Residential,0.2666
1990,50,STANISLAUS,Residential,Residential,63.5057
1990,50,STANISLAUS,TCU,Non-Residential,1.3666
1990,51,SUTTER,Ag With Water Pump,Non-Residential,1.0254
1990,51,SUTTER,Commercial,Non-Residential,5.2694
1990,51,SUTTER,Industrial,Non-Residential,4.2971
